timestamp,symbol,open,high,low,close,volume
2026-01-01 09:15:00,RELIANCE,2999.58,3008.53,2990.95,3000.0,130807
2026-01-01 09:20:00,RELIANCE,3000.0,3004.27,2998.28,3003.01,81555
2026-01-01 09:25:00,RELIANCE,3003.01,3004.62,3002.05,3002.24,65155
2026-01-01 09:30:00,RELIANCE,3002.24,3008.05,3001.84,3006.22,111152
2026-01-01 09:35:00,RELIANCE,3006.22,3016.52,3004.34,3015.5,60549
2026-01-01 09:40:00,RELIANCE,3015.5,3031.83,3001.29,3014.24,157393
2026-01-01 09:45:00,RELIANCE,3014.24,3016.75,3010.5,3013.01,40036
2026-01-01 09:50:00,RELIANCE,3013.01,3025.19,3011.37,3022.74,46067
2026-01-01 09:55:00,RELIANCE,3022.74,3032.26,3022.36,3027.62,53878
2026-01-01 10:00:00,RELIANCE,3027.62,3028.44,3022.81,3025.05,73058
2026-01-01 10:05:00,RELIANCE,3025.05,3033.54,3021.63,3028.63,202964
2026-01-01 10:10:00,RELIANCE,3028.63,3037.69,3020.87,3026.15,107458
2026-01-01 10:15:00,RELIANCE,3026.15,3026.44,3023.4,3023.68,91323
2026-01-01 10:20:00,RELIANCE,3023.68,3026.21,3023.02,3025.52,73331
2026-01-01 10:25:00,RELIANCE,3025.52,3027.37,3013.11,3014.35,79978
2026-01-01 10:30:00,RELIANCE,3014.35,3028.26,3002.11,3004.38,86240
2026-01-01 10:35:00,RELIANCE,3004.38,3011.25,2986.69,3001.46,59632
2026-01-01 10:40:00,RELIANCE,3001.46,3006.73,2991.64,2995.86,44795
2026-01-01 10:45:00,RELIANCE,2995.86,2998.37,2989.42,2998.25,32677
2026-01-01 10:50:00,RELIANCE,2998.25,3005.15,2991.1,2993.34,107215
2026-01-01 10:55:00,RELIANCE,2993.34,2995.72,2984.02,2985.44,80206
2026-01-01 11:00:00,RELIANCE,2985.44,3000.56,2984.95,2994.77,77365
2026-01-01 11:05:00,RELIANCE,2994.77,2996.41,2990.65,2994.02,64341
2026-01-01 11:10:00,RELIANCE,2994.02,2998.53,2993.09,2995.05,82970
2026-01-01 11:15:00,RELIANCE,2995.05,3001.06,2985.21,2987.16,60513
2026-01-01 11:20:00,RELIANCE,2987.16,2990.19,2980.65,2984.57,159839
2026-01-01 11:25:00,RELIANCE,2984.57,2991.86,2982.04,2985.91,252305
2026-01-01 11:30:00,RELIANCE,2985.91,2989.79,2977.86,2979.74,107505
2026-01-01 11:35:00,RELIANCE,2979.74,2986.54,2976.73,2982.7,96010
2026-01-01 11:40:00,RELIANCE,2982.7,2983.25,2971.8,2979.85,89194
2026-01-01 11:45:00,RELIANCE,2979.85,2980.2,2978.04,2978.86,141900
2026-01-01 11:50:00,RELIANCE,2978.86,2980.26,2973.19,2976.04,111873
2026-01-01 11:55:00,RELIANCE,2976.04,2994.57,2966.64,2987.85,76449
2026-01-01 12:00:00,RELIANCE,2987.85,2989.29,2981.64,2988.57,351282
